date,solar_rad_total,wind_avg,wind_dir,wind_max,temp_mean,temp_max,temp_min,humidity_mean,humidity_max,humidity_min,dew_point,wet_bulb,precip_total
1990-01-01,,,,,29.7,32.0,26.0,,,,,,0.0
1990-01-02,,,,,28.8,32.0,26.0,,,,,,0.0
1990-01-03,,,,,30.9,40.0,26.0,,,,,,0.0
1990-01-04,,,,,34.2,37.0,31.0,,,,,,0.42
1990-01-05,,,,,38.1,40.0,36.0,,,,,,0.0
1990-01-06,,,,,39.2,41.0,37.0,,,,,,0.18
1990-01-07,,,,,43.5,46.0,41.0,,,,,,0.08
1990-01-08,,,,,40.1,45.0,35.0,,,,,,0.0
1990-01-09,,,,,42.5,46.0,41.0,,,,,,0.0
1990-01-10,,,,,42.2,51.0,34.0,,,,,,0.1
1990-01-11,,,,,49.0,53.0,44.0,,,,,,0.0
1990-01-12,,,,,42.4,47.0,37.0,,,,,,0.17
1990-01-13,,,,,36.7,40.0,33.0,,,,,,0.2
1990-01-14,,,,,33.4,35.0,31.0,,,,,,0.06
1990-01-15,,,,,30.3,32.0,28.0,,,,,,0.03
1990-01-16,,,,,29.1,32.0,27.0,,,,,,0.0
1990-01-17,,,,,30.3,39.0,27.0,,,,,,0.0
1990-01-18,,,,,33.4,42.0,25.0,,,,,,0.01
1990-01-19,,,,,39.0,50.0,33.0,,,,,,0.01
1990-01-20,,,,,42.5,52.0,35.0,,,,,,0.01
1990-01-21,,,,,44.3,54.0,35.0,,,,,,0.0
1990-01-22,,,,,36.8,44.0,32.0,,,,,,0.02
1990-01-23,,,,,32.1,35.0,28.0,,,,,,0.13
1990-01-24,,,,,39.3,48.0,28.0,,,,,,0.0
1990-01-25,,,,,37.1,43.0,29.0,,,,,,0.0
1990-01-26,,,,,26.4,30.0,24.0,,,,,,0.0
1990-01-27,,,,,28.4,32.0,24.0,,,,,,0.0
1990-01-28,,,,,30.8,34.0,29.0,,,,,,0.1
1990-01-29,,,,,30.2,32.0,27.0,,,,,,0.01
1990-01-30,,,,,,,,,,,,,
1990-01-31,,,,,,,,,,,,,
1990-02-01,,,,,28.0,30.0,27.0,,,,,,0.0
1990-02-02,,,,,31.8,33.0,31.0,,,,,,0.1
1990-02-03,,,,,28.8,32.0,25.0,,,,,,0.0
1990-02-04,,,,,27.3,33.0,23.0,,,,,,0.0
1990-02-05,,,,,28.3,32.0,24.0,,,,,,0.0
1990-02-06,,,,,23.0,26.0,21.0,,,,,,0.0
1990-02-07,,,,,24.5,28.0,22.0,,,,,,0.0
1990-02-08,,,,,31.9,33.0,29.0,,,,,,0.01
1990-02-09,,,,,36.0,40.0,33.0,,,,,,0.52
1990-02-10,,,,,40.9,48.0,36.0,,,,,,0.0
1990-02-11,,,,,34.1,45.0,21.0,,,,,,0.02
1990-02-12,,,,,21.0,26.0,18.0,,,,,,0.0
1990-02-13,,,,,17.3,23.0,13.0,,,,,,0.0
1990-02-14,,,,,17.8,29.0,10.0,,,,,,0.0
1990-02-15,,,,,22.9,28.0,18.0,,,,,,0.0
1990-02-16,,,,,23.4,28.0,20.0,,,,,,0.0
1990-02-17,,,,,25.2,34.0,20.0,,,,,,0.01
1990-02-18,,,,,30.1,47.0,20.0,,,,,,0.06
1990-02-19,,,,,33.9,43.0,27.0,,,,,,0.0
1990-02-20,,,,,37.1,40.0,35.0,,,,,,0.0
1990-02-21,,,,,46.7,62.0,37.0,,,,,,0.01
1990-02-22,,,,,51.5,65.0,41.0,,,,,,0.0
1990-02-23,,,,,49.0,59.0,43.0,,,,,,0.0
1990-02-24,,,,,48.7,60.0,43.0,,,,,,0.0
1990-02-25,,,,,57.7,68.0,49.0,,,,,,0.0
1990-02-26,,,,,56.7,70.0,46.0,,,,,,0.0
1990-02-27,,,,,51.2,68.0,47.0,,,,,,0.0
1990-02-28,,,,,52.9,66.0,45.0,,,,,,0.0
1990-03-01,,,,,48.1,58.0,42.0,,,,,,0.02
1990-03-02,,,,,41.1,47.0,35.0,,,,,,0.19
1990-03-03,,,,,36.6,42.0,33.0,,,,,,0.11
1990-03-04,,,,,33.0,35.0,30.0,,,,,,0.11
1990-03-05,,,,,33.5,42.0,29.0,,,,,,0.02
1990-03-06,,,,,41.0,51.0,34.0,,,,,,0.0
1990-03-07,,,,,33.5,42.0,24.0,,,,,,0.11
1990-03-08,,,,,28.3,40.0,20.0,,,,,,0.02
1990-03-09,,,,,31.8,37.0,27.0,,,,,,0.13
1990-03-10,,,,,28.7,35.0,25.0,,,,,,0.0
1990-03-11,,,,,25.3,32.0,21.0,,,,,,0.0
1990-03-12,,,,,28.4,40.0,24.0,,,,,,0.07
1990-03-13,,,,,27.5,32.0,25.0,,,,,,0.0
1990-03-14,,,,,38.5,48.0,33.0,,,,,,0.45
1990-03-15,,,,,50.3,60.0,41.0,,,,,,0.0
1990-03-16,,,,,49.8,58.0,44.0,,,,,,0.0
1990-03-17,,,,,43.7,48.0,41.0,,,,,,0.06
1990-03-18,,,,,46.9,62.0,39.0,,,,,,0.01
1990-03-19,,,,,45.3,56.0,40.0,,,,,,0.0
1990-03-20,,,,,47.2,58.0,41.0,,,,,,0.0
1990-03-21,,,,,51.1,64.0,42.0,,,,,,0.0
1990-03-22,,,,,42.2,47.0,37.0,,,,,,0.17
1990-03-23,,,,,43.2,54.0,34.0,,,,,,0.01
1990-03-24,,,,,51.4,63.0,41.0,,,,,,0.0
1990-03-25,,,,,42.5,47.0,38.0,,,,,,0.0
1990-03-26,,,,,41.6,55.0,36.0,,,,,,0.01
1990-03-27,,,,,48.7,62.0,39.0,,,,,,0.0
1990-03-28,,,,,50.4,65.0,42.0,,,,,,0.0
1990-03-29,,,,,46.8,60.0,39.0,,,,,,0.0
1990-03-30,,,,,50.1,62.0,42.0,,,,,,0.0
1990-03-31,,,,,51.8,62.0,43.0,,,,,,0.0
1990-04-01,,,,,48.0,64.0,43.0,,,,,,0.0
1990-04-02,,,,,50.7,61.0,43.0,,,,,,0.0
1990-04-03,,,,,55.5,68.0,46.0,,,,,,0.0
1990-04-04,,,,,56.1,68.0,47.0,,,,,,0.0
1990-04-05,,,,,53.3,64.0,45.0,,,,,,0.0
1990-04-06,,,,,51.2,62.0,43.0,,,,,,0.0
1990-04-07,,,,,46.0,57.0,36.0,,,,,,0.0
1990-04-08,,,,,42.3,56.0,32.0,,,,,,0.0
1990-04-09,,,,,50.9,67.0,37.0,,,,,,0.0
1990-04-10,,,,,53.6,64.0,46.0,,,,,,0.0
1990-04-11,,,,,46.2,53.0,40.0,,,,,,0.02
1990-04-12,,,,,50.6,65.0,38.0,,,,,,0.0
1990-04-13,,,,,59.5,74.0,48.0,,,,,,0.0
1990-04-14,,,,,61.6,75.0,49.0,,,,,,0.0
