datetime,solar_rad,wind_avg,wind_dir,wind_max,air_temp,humidity,dew_point,wet_bulb,precip
2026-08-04 19:00,6.1,0.0,297,7.0,74.0,31,41.0,55.0,0.0
2026-08-04 20:00,0.3,3.0,344,7.0,70.0,33,40.0,53.0,0.0
2026-08-04 21:00,0.0,4.0,24,10.0,68.0,36,40.0,52.0,0.0
2026-08-04 22:00,0.0,5.0,38,9.0,67.0,38,41.0,52.0,0.0
2026-08-04 23:00,0.0,7.0,33,12.0,66.0,38,40.0,51.0,0.0
2026-08-05 00:00,0.0,7.0,34,11.0,67.0,38,41.0,52.0,0.0
2026-08-05 01:00,0.0,7.0,30,11.0,67.0,38,41.0,52.0,0.0
2026-08-05 02:00,0.0,9.0,31,12.0,68.0,35,39.0,52.0,0.0
2026-08-05 03:00,0.0,7.0,36,11.0,69.0,29,35.0,51.0,0.0
2026-08-05 04:00,0.0,5.0,45,8.0,69.0,32,38.0,52.0,0.0
2026-08-05 05:00,0.1,4.0,60,9.0,69.0,35,40.0,53.0,0.0
2026-08-05 06:00,1.6,4.0,86,6.0,70.0,36,42.0,54.0,0.0
2026-08-05 07:00,13.5,2.0,105,6.0,77.0,32,45.0,57.0,0.0
2026-08-05 08:00,30.5,1.0,219,3.0,79.0,20,35.0,54.0,0.0
2026-08-05 09:00,46.6,2.0,223,5.0,80.0,20,35.0,55.0,0.0
2026-08-05 10:00,60.3,2.0,206,5.0,83.0,28,47.0,60.0,0.0
2026-08-05 11:00,70.4,2.0,267,6.0,83.0,30,48.0,61.0,0.0
2026-08-05 12:00,76.0,2.0,294,6.0,85.0,27,47.0,61.0,0.0
2026-08-05 13:00,78.9,3.0,292,9.0,87.0,24,46.0,61.0,0.0
2026-08-05 14:00,76.1,2.0,281,9.0,89.0,21,44.0,61.0,0.0
2026-08-05 15:00,68.2,2.0,284,7.0,90.0,20,44.0,61.0,0.0
2026-08-05 16:00,55.7,1.0,281,7.0,91.0,23,48.0,63.0,0.0
2026-08-05 17:00,39.7,0.0,228,6.0,89.0,25,49.0,63.0,0.0
2026-08-05 18:00,23.9,1.0,139,9.0,84.0,32,51.0,62.0,0.0
2026-08-05 19:00,6.3,1.0,247,5.0,75.0,46,53.0,61.0,0.0
2026-08-05 20:00,0.3,2.0,23,4.0,70.0,53,52.0,59.0,0.0
2026-08-05 21:00,0.0,7.0,34,10.0,69.0,52,51.0,57.0,0.0
2026-08-05 22:00,0.0,7.0,34,11.0,69.0,48,49.0,56.0,0.0
2026-08-05 23:00,0.0,7.0,25,10.0,68.0,50,49.0,56.0,0.0
2026-08-06 00:00,0.0,5.0,22,10.0,69.0,49,49.0,57.0,0.0
2026-08-06 01:00,0.0,6.0,25,8.0,69.0,46,47.0,56.0,0.0
2026-08-06 02:00,0.0,6.0,37,10.0,70.0,40,45.0,55.0,0.0
2026-08-06 03:00,0.0,5.0,43,11.0,69.0,42,45.0,55.0,0.0
2026-08-06 04:00,0.0,4.0,76,9.0,68.0,48,48.0,55.0,0.0
2026-08-06 05:00,0.1,4.0,95,7.0,68.0,48,48.0,55.0,0.0
2026-08-06 06:00,1.5,3.0,113,6.0,71.0,45,49.0,57.0,0.0
2026-08-06 07:00,13.2,2.0,159,5.0,77.0,34,47.0,58.0,0.0
2026-08-06 08:00,30.4,2.0,188,6.0,80.0,34,49.0,60.0,0.0
2026-08-06 09:00,45.9,3.0,216,7.0,82.0,31,48.0,61.0,0.0
2026-08-06 10:00,60.2,4.0,218,11.0,83.0,31,49.0,61.0,0.0
2026-08-06 11:00,69.9,4.0,219,7.0,84.0,34,53.0,63.0,0.0
2026-08-06 12:00,76.1,2.0,305,8.0,86.0,32,53.0,64.0,0.0
2026-08-06 13:00,77.8,2.0,284,6.0,88.0,28,51.0,64.0,0.0
2026-08-06 14:00,74.7,3.0,280,9.0,89.0,28,52.0,64.0,0.0
2026-08-06 15:00,67.1,2.0,285,7.0,90.0,25,49.0,64.0,0.0
2026-08-06 16:00,55.0,2.0,261,9.0,90.0,25,49.0,64.0,0.0
2026-08-06 17:00,40.9,3.0,278,9.0,86.0,25,46.0,61.0,0.0
2026-08-06 18:00,24.2,3.0,279,7.0,81.0,28,45.0,59.0,0.0
2026-08-06 19:00,5.9,3.0,268,5.0,74.0,27,38.0,53.0,0.0
2026-08-06 20:00,0.3,2.0,255,4.0,71.0,31,39.0,53.0,0.0
2026-08-06 21:00,0.0,5.0,28,8.0,70.0,47,49.0,57.0,0.0
2026-08-06 22:00,0.0,3.0,54,7.0,69.0,53,51.0,58.0,0.0
2026-08-06 23:00,0.0,4.0,54,8.0,70.0,47,49.0,57.0,0.0
2026-08-07 00:00,0.0,3.0,64,7.0,70.0,50,51.0,58.0,0.0
2026-08-07 01:00,0.0,3.0,85,5.0,69.0,51,50.0,57.0,0.0
2026-08-07 02:00,0.0,1.0,245,3.0,69.0,48,49.0,56.0,0.0
2026-08-07 03:00,0.0,1.0,246,3.0,69.0,47,48.0,56.0,0.0
2026-08-07 04:00,0.0,2.0,316,4.0,69.0,48,49.0,56.0,0.0
2026-08-07 05:00,0.1,0.0,247,3.0,68.0,46,46.0,55.0,0.0
2026-08-07 06:00,1.2,4.0,84,5.0,66.0,59,51.0,57.0,0.0
2026-08-07 07:00,13.3,2.0,43,5.0,74.0,48,53.0,60.0,0.0
2026-08-07 08:00,31.4,4.0,24,7.0,74.0,46,52.0,60.0,0.0
2026-08-07 09:00,47.0,4.0,21,7.0,77.0,40,51.0,60.0,0.0
2026-08-07 10:00,60.2,1.0,323,6.0,81.0,38,53.0,63.0,0.0
2026-08-07 11:00,71.0,2.0,354,8.0,82.0,34,51.0,62.0,0.0
2026-08-07 12:00,77.4,1.0,303,6.0,85.0,28,48.0,62.0,0.0
2026-08-07 13:00,79.1,2.0,296,6.0,87.0,28,50.0,63.0,0.0
2026-08-07 14:00,76.6,2.0,286,9.0,88.0,26,49.0,63.0,0.0
2026-08-07 15:00,69.8,1.0,277,7.0,90.0,20,44.0,61.0,0.0
2026-08-07 16:00,57.2,2.0,267,7.0,89.0,24,48.0,62.0,0.0
2026-08-07 17:00,42.3,1.0,265,8.0,87.0,24,46.0,61.0,0.0
2026-08-07 18:00,25.3,1.0,243,6.0,83.0,31,49.0,61.0,0.0
2026-08-07 19:00,5.8,0.0,240,6.0,72.0,39,46.0,56.0,0.0
2026-08-07 20:00,0.3,3.0,32,6.0,69.0,36,41.0,53.0,0.0
2026-08-07 21:00,0.0,3.0,32,8.0,67.0,38,41.0,52.0,0.0
2026-08-07 22:00,0.0,1.0,0,6.0,65.0,46,44.0,53.0,0.0
2026-08-07 23:00,0.0,2.0,20,6.0,64.0,52,46.0,53.0,0.0
2026-08-08 00:00,0.0,1.0,290,4.0,64.0,47,43.0,52.0,0.0
2026-08-08 01:00,0.0,3.0,323,5.0,62.0,53,45.0,52.0,0.0
2026-08-08 02:00,0.0,6.0,44,10.0,65.0,42,41.0,51.0,0.0
2026-08-08 03:00,0.0,6.0,45,12.0,65.0,42,41.0,51.0,0.0
2026-08-08 04:00,0.0,4.0,21,11.0,65.0,41,41.0,51.0,0.0
2026-08-08 05:00,0.1,2.0,316,9.0,60.0,55,44.0,51.0,0.0
2026-08-08 06:00,1.1,3.0,4,8.0,60.0,61,47.0,52.0,0.0
2026-08-08 07:00,13.2,4.0,13,7.0,65.0,52,47.0,54.0,0.0
2026-08-08 08:00,31.2,2.0,1,10.0,68.0,46,46.0,55.0,0.0
2026-08-08 09:00,47.0,4.0,40,13.0,71.0,42,47.0,56.0,0.0
2026-08-08 10:00,60.9,5.0,46,14.0,74.0,37,46.0,57.0,0.0
2026-08-08 11:00,71.6,1.0,278,6.0,77.0,34,47.0,58.0,0.0
2026-08-08 12:00,78.3,2.0,318,8.0,79.0,28,43.0,57.0,0.0
2026-08-08 13:00,80.3,2.0,1,7.0,83.0,22,40.0,58.0,0.0
2026-08-08 14:00,77.2,1.0,352,9.0,85.0,23,43.0,59.0,0.0
2026-08-08 15:00,69.7,2.0,323,8.0,85.0,23,43.0,59.0,0.0
